[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: mode: prune
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: model: resnet34
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: verbose: False
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: dataset: cifar100
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: dataroot: data
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: batch_size: 128
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: total_epochs: 100
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: lr_decay_milestones: 40,80
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: lr_decay_gamma: 0.1
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: lr: 0.01
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: restore: run/cifar100/pretrain/cifar100_resnet34.pth
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: output_dir: run/cifar100/prune/cifar100-global-group2-resnet34
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: finetune: True
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: gpus: [0]
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: method: group2
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: speed_up: 2.0
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: max_pruning_ratio: 1.0
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: soft_keeping_ratio: 0.0
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: reg: 0.0004
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: delta_reg: 0.0001
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: weight_decay: 0.0005
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: seed: 33
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: global_pruning: True
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: sl_total_epochs: 120
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: sl_lr: 0.01
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: sl_lr_decay_milestones: 60,90
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: sl_reg_warmup: 0
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: sl_restore: None
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: iterative_steps: 400
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: logger: <Logger cifar100-global-group2-resnet34 (DEBUG)>
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: device: cuda:0
[09/10 02:32:51] cifar100-global-group2-resnet34 INFO: num_classes: 100
[09/10 02:32:52] cifar100-global-group2-resnet34 INFO: Loading model from run/cifar100/pretrain/cifar100_resnet34.pth
[09/10 02:32:53] cifar100-global-group2-resnet34 INFO: regularization threshold: {'conv1.weight': 0.0013753230450674891, 'layer1.0.conv1.weight': 0.00012866150063928217, 'layer1.0.conv2.weight': 0.005661216098815203, 'layer1.1.conv1.weight': 0.003771853167563677, 'layer1.1.conv2.weight': 0.0035981107503175735, 'layer1.2.conv1.weight': 0.005277554504573345, 'layer1.2.conv2.weight': 0.004552355036139488, 'layer2.0.conv1.weight': 0.008680476807057858, 'layer2.0.conv2.weight': 0.007045786362141371, 'layer2.0.shortcut.0.weight': 0.013877276331186295, 'layer2.1.conv1.weight': 0.003184149507433176, 'layer2.1.conv2.weight': 0.0026472893077880144, 'layer2.2.conv1.weight': 0.004454715643078089, 'layer2.2.conv2.weight': 0.0033226539380848408, 'layer2.3.conv1.weight': 0.0029285030905157328, 'layer2.3.conv2.weight': 0.001478231861256063, 'layer3.0.conv1.weight': 0.009929375723004341, 'layer3.0.conv2.weight': 0.008496852591633797, 'layer3.0.shortcut.0.weight': 0.01578543148934841, 'layer3.1.conv1.weight': 0.002165065612643957, 'layer3.1.conv2.weight': 0.001920512062497437, 'layer3.2.conv1.weight': 0.0032520415261387825, 'layer3.2.conv2.weight': 0.003078373381868005, 'layer3.3.conv1.weight': 0.0024420281406491995, 'layer3.3.conv2.weight': 0.001999219646677375, 'layer3.4.conv1.weight': 0.002387778600677848, 'layer3.4.conv2.weight': 0.001583883073180914, 'layer3.5.conv1.weight': 0.003529883688315749, 'layer3.5.conv2.weight': 0.0023740327451378107, 'layer4.0.conv1.weight': 0.007624216377735138, 'layer4.0.conv2.weight': 0.006148769985884428, 'layer4.0.shortcut.0.weight': 0.012094263918697834, 'layer4.1.conv1.weight': 0.0020587805192917585, 'layer4.1.conv2.weight': 0.00169373641256243, 'layer4.2.conv1.weight': 0.00609135627746582, 'layer4.2.conv2.weight': 0.0035440006759017706}
[09/10 02:32:54] cifar100-global-group2-resnet34 INFO: Regularizing...
[09/10 02:33:27] cifar100-global-group2-resnet34 INFO: Epoch 0/120, Acc=0.7616, Val Loss=1.0005, lr=0.0100
[09/10 02:33:59] cifar100-global-group2-resnet34 INFO: Epoch 1/120, Acc=0.7501, Val Loss=1.0339, lr=0.0100
[09/10 02:34:32] cifar100-global-group2-resnet34 INFO: Epoch 2/120, Acc=0.7397, Val Loss=1.0632, lr=0.0100
[09/10 02:35:06] cifar100-global-group2-resnet34 INFO: Epoch 3/120, Acc=0.7075, Val Loss=1.1824, lr=0.0100
[09/10 02:35:39] cifar100-global-group2-resnet34 INFO: Epoch 4/120, Acc=0.7173, Val Loss=1.1298, lr=0.0100
[09/10 02:36:11] cifar100-global-group2-resnet34 INFO: Epoch 5/120, Acc=0.7022, Val Loss=1.1930, lr=0.0100
[09/10 02:36:44] cifar100-global-group2-resnet34 INFO: Epoch 6/120, Acc=0.7041, Val Loss=1.2167, lr=0.0100
[09/10 02:37:17] cifar100-global-group2-resnet34 INFO: Epoch 7/120, Acc=0.7032, Val Loss=1.2016, lr=0.0100
[09/10 02:37:49] cifar100-global-group2-resnet34 INFO: Epoch 8/120, Acc=0.7052, Val Loss=1.2306, lr=0.0100
[09/10 02:38:21] cifar100-global-group2-resnet34 INFO: Epoch 9/120, Acc=0.7020, Val Loss=1.2305, lr=0.0100
[09/10 02:38:54] cifar100-global-group2-resnet34 INFO: Epoch 10/120, Acc=0.6935, Val Loss=1.2612, lr=0.0100
[09/10 02:39:26] cifar100-global-group2-resnet34 INFO: Epoch 11/120, Acc=0.7019, Val Loss=1.2107, lr=0.0100
[09/10 02:39:59] cifar100-global-group2-resnet34 INFO: Epoch 12/120, Acc=0.7149, Val Loss=1.1960, lr=0.0100
[09/10 02:40:30] cifar100-global-group2-resnet34 INFO: Epoch 13/120, Acc=0.7025, Val Loss=1.2760, lr=0.0100
[09/10 02:41:04] cifar100-global-group2-resnet34 INFO: Epoch 14/120, Acc=0.7031, Val Loss=1.2564, lr=0.0100
[09/10 02:41:37] cifar100-global-group2-resnet34 INFO: Epoch 15/120, Acc=0.6985, Val Loss=1.2733, lr=0.0100
[09/10 02:42:09] cifar100-global-group2-resnet34 INFO: Epoch 16/120, Acc=0.6990, Val Loss=1.2650, lr=0.0100
[09/10 02:42:43] cifar100-global-group2-resnet34 INFO: Epoch 17/120, Acc=0.7018, Val Loss=1.2696, lr=0.0100
[09/10 02:43:15] cifar100-global-group2-resnet34 INFO: Epoch 18/120, Acc=0.6966, Val Loss=1.2785, lr=0.0100
[09/10 02:43:47] cifar100-global-group2-resnet34 INFO: Epoch 19/120, Acc=0.6967, Val Loss=1.2573, lr=0.0100
[09/10 02:44:19] cifar100-global-group2-resnet34 INFO: Epoch 20/120, Acc=0.7110, Val Loss=1.2507, lr=0.0100
[09/10 02:44:51] cifar100-global-group2-resnet34 INFO: Epoch 21/120, Acc=0.7085, Val Loss=1.2231, lr=0.0100
[09/10 02:45:23] cifar100-global-group2-resnet34 INFO: Epoch 22/120, Acc=0.7040, Val Loss=1.2668, lr=0.0100
[09/10 02:45:57] cifar100-global-group2-resnet34 INFO: Epoch 23/120, Acc=0.7003, Val Loss=1.3079, lr=0.0100
[09/10 02:46:29] cifar100-global-group2-resnet34 INFO: Epoch 24/120, Acc=0.7066, Val Loss=1.2788, lr=0.0100
[09/10 02:47:02] cifar100-global-group2-resnet34 INFO: Epoch 25/120, Acc=0.6894, Val Loss=1.3030, lr=0.0100
[09/10 02:47:34] cifar100-global-group2-resnet34 INFO: Epoch 26/120, Acc=0.7007, Val Loss=1.2728, lr=0.0100
[09/10 02:48:06] cifar100-global-group2-resnet34 INFO: Epoch 27/120, Acc=0.6999, Val Loss=1.3074, lr=0.0100
[09/10 02:48:40] cifar100-global-group2-resnet34 INFO: Epoch 28/120, Acc=0.7043, Val Loss=1.2839, lr=0.0100
[09/10 02:49:12] cifar100-global-group2-resnet34 INFO: Epoch 29/120, Acc=0.6974, Val Loss=1.3258, lr=0.0100
[09/10 02:49:45] cifar100-global-group2-resnet34 INFO: Epoch 30/120, Acc=0.6998, Val Loss=1.2998, lr=0.0100
[09/10 02:50:18] cifar100-global-group2-resnet34 INFO: Epoch 31/120, Acc=0.7108, Val Loss=1.2777, lr=0.0100
[09/10 02:50:51] cifar100-global-group2-resnet34 INFO: Epoch 32/120, Acc=0.7051, Val Loss=1.2493, lr=0.0100
[09/10 02:51:23] cifar100-global-group2-resnet34 INFO: Epoch 33/120, Acc=0.6880, Val Loss=1.3473, lr=0.0100
[09/10 02:51:56] cifar100-global-group2-resnet34 INFO: Epoch 34/120, Acc=0.7015, Val Loss=1.2535, lr=0.0100
[09/10 02:52:29] cifar100-global-group2-resnet34 INFO: Epoch 35/120, Acc=0.6942, Val Loss=1.3003, lr=0.0100
[09/10 02:53:02] cifar100-global-group2-resnet34 INFO: Epoch 36/120, Acc=0.7007, Val Loss=1.2675, lr=0.0100
